id,value
id_0,25.6560814391
id_1,65.138646123
id_2,22.248913797
id_3,27.6512727868
id_4,10.4568986308
id_5,34.9520687184
id_6,39.9986927374
id_7,16.9836778037
id_8,48.5179109649
id_9,34.4957065484
id_10,38.7517531593
id_11,56.9747543753
id_12,33.5953068703
id_13,40.017003044
id_14,27.960526264
id_15,12.5729651061
id_16,52.2288631928
id_17,23.5776283215
id_18,19.2939203903
id_19,20.1037640241
id_20,16.1034862089
id_21,31.1479349854
id_22,38.1879030211
id_23,11.5009165877
id_24,60.526734697
id_25,44.3944839306
id_26,26.1541045879
id_27,7.63899274644
id_28,32.0389773853
id_29,36.4529383341
id_30,16.3315033614
id_31,11.3728232234
id_32,16.200257427
id_33,6.09891201006
id_34,17.1795150088
id_35,40.7433291886
id_36,21.0218739364
id_37,26.9163146424
id_38,10.0025164005
id_39,63.5953376785
id_40,46.9232787815
id_41,19.1232376541
id_42,53.122427171
id_43,18.780133292
id_44,43.6897081514
id_45,50.9328043116
id_46,59.810926492
id_47,42.1281969407
id_48,51.450521248
id_49,39.8729919004
id_50,28.9254487749
id_51,22.6743197806
id_52,38.7130133531
id_53,23.3612188041
id_54,37.5899645476
id_55,42.2904802702
id_56,24.1423601357
id_57,21.9072739672
id_58,35.0978147205
id_59,32.3762765949
id_60,13.9268393912
id_61,23.7143611538
id_62,31.9172862666
id_63,55.0363241111
id_64,48.1766573121
id_65,26.1875764227
id_66,38.9785924653
id_67,52.7206409174
id_68,25.9709431845
id_69,36.6244386438
id_70,64.2467845936
id_71,55.591634311
id_72,43.8091227361
id_73,12.2567333634
id_74,11.441852735
id_75,36.3060202845
id_76,62.3157488792
id_77,2.35444704656
id_78,42.6547232912
id_79,40.2015524381
id_80,9.20469639546
id_81,22.3300587915
id_82,6.35867345806
id_83,31.636889645
id_84,10.1042195546
id_85,7.55481991569
id_86,16.7301864159
id_87,11.8797411663
id_88,16.1333603542
id_89,27.6346941083
id_90,35.3286287111
id_91,11.8660900597
id_92,13.0922105115
id_93,8.93066356557
id_94,37.3376242925
id_95,16.1956246685
id_96,15.4141933864
id_97,7.19748599088
id_98,12.2276525212
id_99,6.89404541279
id_100,10.5919703168
id_101,18.5195077322
id_102,11.2297117519
id_103,8.56491548402
id_104,13.1963668126
id_105,36.7364788215
id_106,25.6141465612
id_107,7.10952573883
id_108,15.8608326366
id_109,15.6383433685
id_110,13.1833171862
id_111,15.4733578648
id_112,14.9742310257
id_113,26.1557772604
id_114,21.1263068034
id_115,17.78338402
id_116,7.45197940789
id_117,45.7436054465
id_118,28.1857304413
id_119,1.15680578344
id_120,1.42102090514
id_121,10.8800124543
id_122,13.6178637286
id_123,13.7484193681
id_124,7.41114909588
id_125,25.5214370628
id_126,20.8457264899
id_127,11.1848213783
id_128,20.9220683338
id_129,17.473410114
id_130,3.30040613126
id_131,34.2466595565
id_132,14.8216366889
id_133,23.3014420512
id_134,25.4743377092
id_135,21.916326759
id_136,9.33644193752
id_137,21.27896285
id_138,79.3783557378
id_139,63.0469252396
id_140,29.2863177107
id_141,18.8043506338
id_142,23.7515218142
id_143,7.18509996979
id_144,10.3036525698
id_145,10.2901555518
id_146,18.0841510125
id_147,8.28863586849
id_148,12.3926358851
id_149,15.4865296204
id_150,47.4442331652
id_151,20.7781386143
id_152,23.1378523338
id_153,14.7015502971
id_154,15.8016719745
id_155,26.9287415216
id_156,21.6213834701
id_157,35.2682193995
id_158,3.68052475316
id_159,19.9636812993
id_160,44.9817026129
id_161,18.4872180938
id_162,62.3832844194
id_163,18.451628752
id_164,35.091831474
id_165,23.6014955311
id_166,23.2116784986
id_167,0.485143981496
id_168,68.141426673
id_169,17.6278701628
id_170,16.6764396068
id_171,72.9601329868
id_172,21.2700059886
id_173,2.00393604387
id_174,24.9779400921
id_175,2.34215499264
id_176,6.59073825426
id_177,18.039097192
id_178,19.0808905183
id_179,21.5435521619
id_180,44.7592449287
id_181,29.5926199608
id_182,28.66086573
id_183,11.2121294712
id_184,6.84044006845
id_185,40.5029417788
id_186,36.4607068787
id_187,36.0684541237
id_188,15.8821756105
id_189,22.0960170723
id_190,13.8651953367
id_191,16.5557256176
id_192,32.0351863917
id_193,74.3700895041
id_194,28.5867982954
id_195,13.2560207269
id_196,62.5964921361
id_197,15.9183061897
id_198,18.8788583735
id_199,22.9437660071
id_200,140.12437097
id_201,25.363210135
id_202,58.4655976654
id_203,6.68548037269
id_204,60.7535408048
id_205,37.0946785827
id_206,14.14558374
id_207,13.487938135
id_208,65.3472024768
id_209,14.1740340314
id_210,31.3601551541
id_211,72.0417227127
id_212,20.4914780797
id_213,102.332066108
id_214,41.0305915976
id_215,76.7811975015
id_216,98.6884126156
id_217,75.2844544545
id_218,30.5994068118
id_219,19.9800983168
id_220,31.4793577931
id_221,54.8163522671
id_222,27.136344722
id_223,38.2401225024
id_224,43.8966473024
id_225,7.28052864855
id_226,3.70604186237
id_227,77.1017133206
id_228,30.8173785473
id_229,1.83672995893
id_230,39.5643724609
id_231,14.2356873103
id_232,19.6668424167
id_233,8.61740779399
id_234,11.6944432902
id_235,23.3492493613
id_236,13.0611930874
id_237,-0.0530659507773
id_238,21.782288684
id_239,3.23189080626
