id,value
id_0,25.6352840682
id_1,65.1034579654
id_2,22.1117546788
id_3,27.7716773988
id_4,10.1744598029
id_5,31.7599164659
id_6,39.403870316
id_7,15.4535127391
id_8,48.1305898503
id_9,34.788367547
id_10,38.5208194457
id_11,58.1779319852
id_12,33.0859043139
id_13,36.1706243449
id_14,27.0515540344
id_15,12.4425865397
id_16,50.7023734496
id_17,22.914604991
id_18,15.9013464683
id_19,17.4489536746
id_20,15.8483885071
id_21,28.5672706213
id_22,38.4181961734
id_23,12.105287671
id_24,61.1174493206
id_25,44.4293400586
id_26,25.3765434001
id_27,8.47228731055
id_28,31.8810091439
id_29,35.6454326364
id_30,14.220808379
id_31,11.1399451245
id_32,16.6896401498
id_33,5.79850535118
id_34,17.2952982889
id_35,39.7590059614
id_36,20.1999928193
id_37,26.5938869865
id_38,9.98630357446
id_39,64.0994923527
id_40,46.6685499718
id_41,21.474727047
id_42,53.2862431325
id_43,19.2632938989
id_44,44.414457647
id_45,49.3924191248
id_46,58.7109308402
id_47,41.4680823539
id_48,51.2845502615
id_49,39.9035930125
id_50,29.1268658862
id_51,21.5282342807
id_52,39.0650813678
id_53,23.956298089
id_54,37.344660752
id_55,41.6724403442
id_56,24.0964446158
id_57,21.476756316
id_58,34.4717350262
id_59,33.1707788633
id_60,11.8347086085
id_61,25.0023646202
id_62,31.378139133
id_63,54.6751620831
id_64,48.2080418289
id_65,26.415114013
id_66,38.1308167362
id_67,52.1213067054
id_68,26.2118543845
id_69,35.3438375145
id_70,63.8456591887
id_71,54.3489680325
id_72,44.1883470012
id_73,13.0287285438
id_74,10.0855422232
id_75,36.1826799004
id_76,62.7109447302
id_77,2.68009193279
id_78,40.9557161244
id_79,39.4429283202
id_80,9.60236757595
id_81,20.5260868972
id_82,7.0688769098
id_83,31.0772635393
id_84,8.47092762066
id_85,8.5784202325
id_86,16.8181777825
id_87,11.6231971388
id_88,16.2424651151
id_89,24.8942352398
id_90,35.044623962
id_91,10.7783464736
id_92,13.4287427853
id_93,10.6219564788
id_94,35.8756052715
id_95,18.1115121689
id_96,14.4665383195
id_97,6.63919173993
id_98,11.2103206562
id_99,8.18135024235
id_100,10.7468878175
id_101,19.3183348499
id_102,10.2185604879
id_103,9.49736033932
id_104,13.9965153424
id_105,35.9097980503
id_106,23.9882333408
id_107,8.87499228225
id_108,16.166884863
id_109,16.6190558161
id_110,12.2236001222
id_111,12.5114149421
id_112,16.0815129318
id_113,23.957784592
id_114,21.7660237073
id_115,17.429328196
id_116,10.0758593958
id_117,44.1016946568
id_118,26.1333993295
id_119,3.26321846539
id_120,2.37165651288
id_121,10.4667698916
id_122,13.1512994793
id_123,11.8358498521
id_124,6.93502200718
id_125,25.9203606188
id_126,22.7622455384
id_127,10.2967104473
id_128,18.9824622798
id_129,16.2166966861
id_130,3.59179079671
id_131,33.7152024389
id_132,16.4356702518
id_133,22.2247975672
id_134,25.3927453881
id_135,23.2145991141
id_136,10.2038678122
id_137,23.185385457
id_138,83.4623844682
id_139,61.6920111525
id_140,30.3383894292
id_141,18.0878904796
id_142,23.0232763232
id_143,7.86816036015
id_144,12.261188251
id_145,10.5425860408
id_146,18.0441828367
id_147,8.27701887917
id_148,11.7942705292
id_149,15.667090052
id_150,47.0539620543
id_151,17.8993844945
id_152,22.667185116
id_153,13.0020189432
id_154,17.0809864614
id_155,26.2121202724
id_156,17.5616191197
id_157,35.8642223077
id_158,4.93551050021
id_159,17.4361064245
id_160,45.8043364825
id_161,18.1853467393
id_162,62.8754689103
id_163,17.6655910891
id_164,35.4407036521
id_165,24.1765076262
id_166,22.4021796625
id_167,0.91769790935
id_168,69.59866389
id_169,18.5892906213
id_170,16.8695197089
id_171,75.9080512616
id_172,19.7514153773
id_173,3.70600399744
id_174,25.9370726399
id_175,2.3013861073
id_176,8.64332330066
id_177,18.9243238701
id_178,20.2092963145
id_179,20.5080865397
id_180,44.4943745252
id_181,30.9540899234
id_182,29.52059624
id_183,12.7962395247
id_184,5.78257980574
id_185,40.494373443
id_186,35.9525995661
id_187,35.3757245237
id_188,14.2926728629
id_189,23.1265701791
id_190,14.0001138741
id_191,15.805356741
id_192,31.6400074606
id_193,74.4643601314
id_194,29.9330731997
id_195,13.2775225723
id_196,62.8931846881
id_197,18.3793283709
id_198,19.2083011678
id_199,22.8280570397
id_200,156.091486545
id_201,24.6816572576
id_202,59.4548800774
id_203,7.69200011891
id_204,59.383554338
id_205,35.0930000671
id_206,12.4325478169
id_207,15.1882426516
id_208,65.5482944721
id_209,16.3126028987
id_210,32.1566897258
id_211,71.7692743023
id_212,21.5218632599
id_213,89.7459595646
id_214,40.6262850866
id_215,74.4658054154
id_216,106.02394874
id_217,76.284495635
id_218,30.0022941259
id_219,19.6693034116
id_220,31.8941676438
id_221,54.0877339545
id_222,26.166998863
id_223,38.5903046828
id_224,42.9338560382
id_225,6.72531804156
id_226,4.79424273688
id_227,77.6803436342
id_228,28.9769904811
id_229,1.39392436986
id_230,39.0054349293
id_231,12.1590247187
id_232,19.1421943248
id_233,6.46634913797
id_234,13.7598004068
id_235,22.3485355073
id_236,13.6181794995
id_237,-0.14377607935
id_238,22.9889602195
id_239,4.42099505553
